codes,labels,2019
BE,Belgium,11455519
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1215290
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1215290
BE2,Vlaams Gewest,6596233
BE21,Prov. Antwerpen,1860470
BE22,Prov. Limburg (BE),875842
BE23,Prov. Oost-Vlaanderen,1516283
BE24,Prov. Vlaams-Brabant,1146643
BE25,Prov. West-Vlaanderen,1196995
BE3,Région wallonne,3643996
BE31,Prov. Brabant wallon,404270
BE32,Prov. Hainaut,1346082
BE33,Prov. Liège,1110068
BE34,Prov. Luxembourg (BE),286685
BE35,Prov. Namur,496891
BG,Bulgaria,7000039
BG3,Severna i yugoiztochna Bulgaria,3487586
BG31,Severozapaden,742304
BG32,Severen tsentralen,784168
BG33,Severoiztochen,929035
BG34,Yugoiztochen,1032079
BG4,Yugozapadna i yuzhna tsentralna Bulgaria,3512453
BG41,Yugozapaden,2102205
BG42,Yuzhen tsentralen,1410248
CZ,Czechia,10649800
CZ0,Cesko,10649800
CZ01,Praha,1308632
CZ02,Strední Cechy,1369332
CZ03,Jihozápad,1226805
CZ04,Severozápad,1115685
CZ05,Severovýchod,1513693
CZ06,Jihovýchod,1696941
CZ07,Strední Morava,1215413
CZ08,Moravskoslezsko,1203299
DK,Denmark,5806081
DK0,Danmark,5806081
DK01,Hovedstaden,1835562
DK02,Sjælland,836738
DK03,Syddanmark,1223348
DK04,Midtjylland,1320678
DK05,Nordjylland,589755
DE,Germany (until 1990 former territory of the FRG),83019213
DE1,Baden-Württemberg,11069533
DE11,Stuttgart,4143418
DE12,Karlsruhe,2805129
DE13,Freiburg,2264469
DE14,Tübingen,1856517
DE2,Bayern,13076721
DE21,Oberbayern,4686163
DE22,Niederbayern,1238528
DE23,Oberpfalz,1109269
DE24,Oberfranken,1067482
DE25,Mittelfranken,1770401
DE26,Unterfranken,1317124
DE27,Schwaben,1887754
DE3,Berlin,3644826
DE30,Berlin,3644826
DE4,Brandenburg,2511917
DE40,Brandenburg,2511917
DE5,Bremen,682986
DE50,Bremen,682986
DE6,Hamburg,1841179
DE60,Hamburg,1841179
DE7,Hessen,6265809
DE71,Darmstadt,3998724
DE72,Gießen,1047262
DE73,Kassel,1219823
DE8,Mecklenburg-Vorpommern,1609675
DE80,Mecklenburg-Vorpommern,1609675
DE9,Niedersachsen,7982448
DE91,Braunschweig,1596396
DE92,Hannover,2149805
DE93,Lüneburg,1710914
DE94,Weser-Ems,2525333
DEA,Nordrhein-Westfalen,17932651
DEA1,Düsseldorf,5202321
DEA2,Köln,4468904
DEA3,Münster,2623619
DEA4,Detmold,2055310
DEA5,Arnsberg,3582497
DEB,Rheinland-Pfalz,4084844
DEB1,Koblenz,1495885
DEB2,Trier,531007
DEB3,Rheinhessen-Pfalz,2057952
DEC,Saarland,990509
Dec-00,Saarland,990509
DED,Sachsen,4077937
DED2,Dresden,1598199
DED4,Chemnitz,1436445
DED5,Leipzig,1043293
DEE,Sachsen-Anhalt,2208321
DEE0,Sachsen-Anhalt,2208321
DEF,Schleswig-Holstein,2896712
DEF0,Schleswig-Holstein,2896712
DEG,Thüringen,2143145
DEG0,Thüringen,2143145
EE,Estonia,1324820
EE0,Eesti,1324820
EE00,Eesti,1324820
IE,Ireland,4904240
IE0,Éire/Ireland,4904240
IE04,Northern and Western,867947
IE05,Southern,1624381
IE06,Eastern and Midland,2411912
EL,Greece,10724599
EL3,Attiki,3742235
EL30,Attiki,3742235
EL4,"Nisia Aigaiou, Kriti",1200055
EL41,Voreio Aigaio,221098
EL42,Notio Aigaio,344027
EL43,Kriti,634930
EL5,Voreia Ellada,3074204
EL51,"Anatoliki Makedonia, Thraki",599723
EL52,Kentriki Makedonia,1873777
EL53,Dytiki Makedonia,267008
EL54,Ipeiros,333696
EL6,Kentriki Ellada,2708105
EL61,Thessalia,718640
EL62,Ionia Nisia,203869
EL63,Dytiki Ellada,655189
EL64,Sterea Ellada,555960
EL65,Peloponnisos,574447
ES,Spain,46937060
ES1,Noroeste (ES),4304287
ES11,Galicia,2700441
ES12,Principado de Asturias,1022205
ES13,Cantabria,581641
ES2,Noreste (ES),4461983
ES21,País Vasco,2177880
ES22,Comunidad Foral de Navarra,649946
ES23,La Rioja,313571
ES24,Aragón,1320586
ES3,Comunidad de Madrid,6641649
ES30,Comunidad de Madrid,6641649
ES4,Centro (ES),5508034
ES41,Castilla y León,2407733
ES42,Castilla-la Mancha,2034877
ES43,Extremadura,1065424
ES5,Este (ES),13729620
ES51,Cataluña,7566431
ES52,Comunitat Valenciana,4974969
ES53,Illes Balears,1188220
ES6,Sur (ES),10084586
ES61,Andalucía,8427405
ES62,Región de Murcia,1487663
ES63,Ciudad de Ceuta,84829
ES64,Ciudad de Melilla,84689
ES7,Canarias,2206901
ES70,Canarias,2206901
FR,France,67012883
FR1,Île de France,12244807
FR10,Île de France,12244807
